Vulnerable Library,CVE Severity,Products Affected,Enterprises Exposed
webpack 5.66.0,Critical,1,10658
shell-quote 1.7.2,Critical,2,9323
next 14.1.3,Critical,1,8304
jackson-mapper-asl 1.9.13,Critical,2,7877
fast-xml-parser 4.5.3,Critical,2,7796
crypto-js 4.1.1,Critical,1,7599
swiper 11.1.14,Critical,1,7599
immer 8.0.1,Critical,1,7234
netty 3.10.6.Final,Critical,1,7234
ranger-plugins-common 2.7.0,Critical,1,7234
@angular/ssr 20.3.3,Critical,1,6867
dart 2.17.6,Critical,1,6867
happy-dom 15.7.4,Critical,1,6867
next 14.0.4,Critical,1,6867
next 14.2.16,Critical,1,6867
webpack 5.64.0,Critical,1,6867
fast-xml-parser 4.3.0,Critical,1,6683
spring-web 5.3.26,Critical,1,6683
handlebars 3.0.3,Critical,1,6268
fast-xml-parser 5.2.5,Critical,1,5838
underscore 1.7.0,Critical,1,5838
class-validator 0.13.2,Critical,1,4763
drools-core 6.0.0.Final-jahia2,Critical,1,4763
quartz 1.8.6,Critical,1,4763
spring-beans 3.2.18.jahia2_OSGI,Critical,1,4763
spring-web 3.2.18.jahia5_OSGI,Critical,1,4763
spring-webmvc 3.2.18.RELEASE_OSGI,Critical,1,4763
tj-actions/branch-names v8,Critical,1,4763
clojure 1.5.1,Critical,1,4230
groovy-all 1.8.5,Critical,1,4230
jython-standalone 2.5.2,Critical,1,4230
spark-core_2.10 1.1.1,Critical,1,4230
spark-core_2.10 1.6.3,Critical,1,4230
spark-core_2.10 2.4.0,Critical,1,4230
spark-core_2.12 3.0.0,Critical,1,4230
xmlbeans 2.6.0,Critical,1,4230
http 0.1.0,Critical,1,4040
rust-analyzer 0.5.0-dev,Critical,1,4040
lldb-dap 0.2.0,Critical,1,3695
nokogiri 1.10.8,Critical,1,3189
calcite-core 1.30.0-kylin-5.x-r3,Critical,1,3107
hadoop-common 2.10.1,Critical,1,3107
spark-core_2.12 3.3.0-kylin-5.2.2,Critical,1,3107
tomcat-embed-core 9.0.90,Critical,1,3107
unboundid-ldapsdk 3.1.1,Critical,1,3107
zookeeper 3.4.14,Critical,1,3107
minimist 0.0.10,Critical,2,2928
opentelemetry-javaagent 2.14.0,Critical,1,2922
sqlalchemy 1.0.13,Critical,1,2846
log4j 1.2.16,Critical,3,2774
webpack 5.74.0,Critical,2,2228
kramdown 1.6.0,Critical,1,2177
nokogiri 1.8.2,Critical,1,2177
rack 1.6.0,Critical,1,2177
uglifier 2.7.1,Critical,1,2177
commons-collections4 4.0,Critical,1,2152
github.com/emicklei/go-restful v0.0.0-20170410110728-ff4f55a20633,Critical,1,2152
golang.org/x/crypto v0.0.0-20190820162420-60c769a6c586,Critical,1,2152
golang.org/x/crypto v0.0.0-20200622213623-75b288015ac9,Critical,1,2152
golang.org/x/crypto v0.1.0,Critical,1,2152
google.golang.org/grpc v1.37.1,Critical,1,2152
parquet-avro 1.11.0,Critical,1,2152
stdlib go1.17,Critical,1,2152
@babel/traverse 7.0.0-beta.44,Critical,1,2089
@babel/traverse 7.10.5,Critical,1,2089
elliptic 6.4.1,Critical,1,2089
elliptic 6.5.3,Critical,1,2089
eslint-utils 1.3.1,Critical,1,2089
form-data 2.3.2,Critical,1,2089
fsevents 1.2.7,Critical,1,2089
getobject 0.1.0,Critical,1,2089
handlebars 4.1.1,Critical,1,2089
lodash 4.17.10,Critical,1,2089
lodash 4.17.5,Critical,1,2089
minimist 0.1.0,Critical,1,2089
pbkdf2 3.0.17,Critical,1,2089
replicator 1.0.3,Critical,1,2089
tree-kill 1.2.1,Critical,1,2089
cassandra-all 3.11.3,Critical,1,1478
hadoop-common 2.9.2,Critical,1,1478
hadoop-common 3.3.2,Critical,1,1478
hsqldb 1.8.0.10,Critical,1,1478
ignite-core 2.4.0,Critical,1,1478
postgresql 42.5.4,Critical,1,1478
spring-beans 5.2.15.RELEASE,Critical,1,1472
spring-web 5.2.15.RELEASE,Critical,1,1472
zk-build-utils 2.0.0,Critical,1,1472
zookeeper 3.4.5,Critical,3,1429
commons-collections 3.1,Critical,1,914
commons-fileupload 1.2,Critical,1,914
hadoop-common 2.7.2,Critical,1,914
log4j 1.2.15,Critical,1,914
parquet-avro 1.7.0,Critical,1,914
shiro-core 1.2.3,Critical,1,914
shiro-web 1.2.3,Critical,1,914
ejs 2.7.4,Critical,1,839
locutus 2.0.39,Critical,1,839
log4j-core 2.1,Critical,1,707
netty 3.6.6.Final,Critical,1,707
hadoop-common 2.6.0,Critical,1,643
google.golang.org/grpc v1.77.0,Critical,2,538
avro 1.11.0,Critical,1,497
hadoop-common 2.3.0,Critical,1,497
quartz 2.2.0,Critical,1,497
spark-core_2.12 3.1.1,Critical,1,497
spark-core_2.12 3.3.2,Critical,1,497
unboundid-ldapsdk 2.3.6,Critical,1,497
maven-core 3.6.3,Critical,1,444
golang.org/x/crypto v0.3.0,Critical,1,380
google.golang.org/grpc v1.41.0,Critical,1,380
@babel/traverse 7.12.0,Critical,1,244
activestorage 7.1.5.1,Critical,1,244
nokogiri 1.16.8,Critical,1,244
symfony/http-foundation v3.0.9,Critical,1,190
@xmldom/xmldom 0.8.2,Critical,1,139
lodash 4.2.1,Critical,1,82
xwiki-platform-oldcore [18.3.0-SNAPSHOT],Critical,1,82
gevent 21.8.0,Critical,1,75
gevent 22.10.2,Critical,1,75
pillow 9.0.1,Critical,1,75
pillow 9.4.0,Critical,1,75
LiteDB 3.1.0.0,Critical,1,56
log4net 1.2.10.0,Critical,1,56
log4net 2.0.6.0-.NET 4.5,Critical,1,56
avro 1.7.3,Critical,1,34
jackson-mapper-asl 1.8.8,Critical,1,34
jetty-server 9.2.10.v20150310,Critical,1,34
jython-standalone 2.5.3,Critical,1,34
django 3.0.4,Critical,1,2
pillow 7.0.0,Critical,1,2
eslint-tools 0.0.0,Critical,1,0
pyarrow 10.0.1,Critical,1,0
picomatch 2.3.1,High,40,3522178
serialize-javascript 6.0.2,High,28,2708406
path-to-regexp 0.1.12,High,21,2705206
serialize-javascript 4.0.0,High,11,2522455
braces 3.0.2,High,17,2236101
actions/download-artifact v4,High,19,2050869
path-to-regexp 0.1.7,High,10,1844816
cross-spawn 7.0.3,High,12,1759235
body-parser 1.20.2,High,5,1661173
minimatch 3.1.2,High,28,1639083
cross-spawn 5.1.0,High,10,1633792
