VendorName,Product,ProductId,TabKeyNewId,ProductSeries,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US
Numerify Inc,Numerify,12455,12434,IT Development/Infrastructure,IT Infrastructure & Ops Management,"18,470","12,258","6,143","3,578"
ASG Software,ASG Rochade,637,577,IT Development/Infrastructure,IT Infrastructure & Ops Management,"18,435","16,463","3,106","2,467"
ASG Software,ASG Rochade,637,577,IT Development/Infrastructure,IT Infrastructure & Ops Management,"18,435","16,463","3,106","2,467"
Dell EMC,EMC ControlCenter,1504,955,IT Development/Infrastructure,IT Infrastructure & Ops Management,"17,932","14,375","2,540","1,379"
Dell EMC,EMC ControlCenter,1504,955,IT Development/Infrastructure,IT Infrastructure & Ops Management,"17,932","14,375","2,540","1,379"
IBM,IBM DFSMS,2225,6032,IT Development/Infrastructure,IT Infrastructure & Ops Management,"17,897","14,107","4,434","3,277"
IBM,IBM DFSMS,2225,6032,IT Development/Infrastructure,IT Infrastructure & Ops Management,"17,897","14,107","4,434","3,277"
SmartBear Software,Alertsite,378,5247,IT Development/Infrastructure,IT Infrastructure & Ops Management,"17,022","13,375","2,472","1,513"
SmartBear Software,Alertsite,378,5247,IT Development/Infrastructure,IT Infrastructure & Ops Management,"17,022","13,375","2,472","1,513"
IBM,IBM Application Performance Management,9924,9903,IT Development/Infrastructure,IT Infrastructure & Ops Management,"16,719","10,454","4,305","2,503"
IBM,IBM Application Performance Management,9924,9903,IT Development/Infrastructure,IT Infrastructure & Ops Management,"16,719","10,454","4,305","2,503"
Network Instruments,Network Instruments,5111,3390,IT Development/Infrastructure,IT Infrastructure & Ops Management,"16,559","13,955","2,411","1,638"
Network Instruments,Network Instruments,5111,3390,IT Development/Infrastructure,IT Infrastructure & Ops Management,"16,559","13,955","2,411","1,638"
HP Inc.,HP Connect-IT,1468,5026,IT Development/Infrastructure,IT Infrastructure & Ops Management,"16,452","9,488","2,808","1,614"
HP Inc.,HP Connect-IT,1468,5026,IT Development/Infrastructure,IT Infrastructure & Ops Management,"16,452","9,488","2,808","1,614"
Kalido,Kalido,4046,4163,IT Development/Infrastructure,IT Infrastructure & Ops Management,"16,253","10,971","3,930","1,770"
Kalido,Kalido,4046,4163,IT Development/Infrastructure,IT Infrastructure & Ops Management,"16,253","10,971","3,930","1,770"
CA Technologies,CA Vantage,1031,4764,IT Development/Infrastructure,IT Infrastructure & Ops Management,"16,151","9,328","6,100","3,631"
CA Technologies,CA Vantage,1031,4764,IT Development/Infrastructure,IT Infrastructure & Ops Management,"16,151","9,328","6,100","3,631"
Hitachi Data Systems Corporation,Hitachi Command Suite,1446,1946,IT Development/Infrastructure,IT Infrastructure & Ops Management,"15,647","5,744","1,651",500
Hitachi Data Systems Corporation,Hitachi Command Suite,1446,1946,IT Development/Infrastructure,IT Infrastructure & Ops Management,"15,647","5,744","1,651",500
IBM,IBM Sterling Control Center,1319,5994,IT Development/Infrastructure,IT Infrastructure & Ops Management,"14,570","11,081","2,028","1,320"
IBM,IBM Sterling Control Center,1319,5994,IT Development/Infrastructure,IT Infrastructure & Ops Management,"14,570","11,081","2,028","1,320"
BMC Software,BMC Remedy OnDemand,6311,3355,IT Development/Infrastructure,IT Infrastructure & Ops Management,"14,547","13,279",792,347
BMC Software,BMC Remedy OnDemand,6311,3355,IT Development/Infrastructure,IT Infrastructure & Ops Management,"14,547","13,279",792,347
Symmetricom,Symmetricom,4063,7601,IT Development/Infrastructure,IT Infrastructure & Ops Management,"13,912","8,872","2,083",806
Symmetricom,Symmetricom,4063,7601,IT Development/Infrastructure,IT Infrastructure & Ops Management,"13,912","8,872","2,083",806
VictorOps Inc.,VictorOps,13855,13834,IT Development/Infrastructure,IT Infrastructure & Ops Management,"13,905","10,167","3,951","2,107"
VictorOps Inc.,VictorOps,13855,13834,IT Development/Infrastructure,IT Infrastructure & Ops Management,"13,905","10,167","3,951","2,107"
NetApp,NetApp SnapLock,7006,3483,IT Development/Infrastructure,IT Infrastructure & Ops Management,"13,658","10,031","1,987","1,249"
NetApp,NetApp SnapLock,7006,3483,IT Development/Infrastructure,IT Infrastructure & Ops Management,"13,658","10,031","1,987","1,249"
Opsview,Opsview,12991,12970,IT Development/Infrastructure,IT Infrastructure & Ops Management,"13,459","6,790","4,190","2,000"
Opsview,Opsview,12991,12970,IT Development/Infrastructure,IT Infrastructure & Ops Management,"13,459","6,790","4,190","2,000"
Symantec,Symantec Storage Foundation,7311,2353,IT Development/Infrastructure,IT Infrastructure & Ops Management,"13,173","10,128","3,401","2,796"
Symantec,Symantec Storage Foundation,7311,2353,IT Development/Infrastructure,IT Infrastructure & Ops Management,"13,173","10,128","3,401","2,796"
Inmagic,Inmagic,4059,7311,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,492","6,329","2,874",924
Inmagic,Inmagic,4059,7311,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,492","6,329","2,874",924
CA Technologies,CA MICS,1014,4747,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,426","11,598",672,349
CA Technologies,CA MICS,1014,4747,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,426","11,598",672,349
CA Technologies,CA MIM,1015,4748,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,417","5,427","2,956","1,261"
CA Technologies,CA MIM,1015,4748,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,417","5,427","2,956","1,261"
Infor,Infor Optiva,5268,6976,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,193","8,118","1,586",760
Infor,Infor Optiva,5268,6976,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,193","8,118","1,586",760
HP Inc.,HP PolyServe,5527,5121,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,164","10,676","1,194",539
HP Inc.,HP PolyServe,5527,5121,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,164","10,676","1,194",539
Symantec,Altiris IT Management Suite,397,2318,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,139","10,418","1,424",857
Symantec,Altiris IT Management Suite,397,2318,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,139","10,418","1,424",857
UNICOM Systems Inc,TraceMaster,4064,8037,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,063","10,515","1,358","1,081"
UNICOM Systems Inc,TraceMaster,4064,8037,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,063","10,515","1,358","1,081"
Absolute Software,Absolute Software,115,3042,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,039","11,195",863,613
Absolute Software,Absolute Software,115,3042,IT Development/Infrastructure,IT Infrastructure & Ops Management,"12,039","11,195",863,613
CA Technologies,CA TLMS,1029,4762,IT Development/Infrastructure,IT Infrastructure & Ops Management,"11,775","8,927","2,320","1,173"
CA Technologies,CA TLMS,1029,4762,IT Development/Infrastructure,IT Infrastructure & Ops Management,"11,775","8,927","2,320","1,173"
Informatica,Informatica ILM Nearline,3441,4855,IT Development/Infrastructure,IT Infrastructure & Ops Management,"11,722","6,075","3,184","1,393"
Informatica,Informatica ILM Nearline,3441,4855,IT Development/Infrastructure,IT Infrastructure & Ops Management,"11,722","6,075","3,184","1,393"
HP Inc.,HP Client Automation,1274,5021,IT Development/Infrastructure,IT Infrastructure & Ops Management,"11,386","8,580","1,373",734
HP Inc.,HP Client Automation,1274,5021,IT Development/Infrastructure,IT Infrastructure & Ops Management,"11,386","8,580","1,373",734
NetApp,NetApp FlexClone,2873,3469,IT Development/Infrastructure,IT Infrastructure & Ops Management,"11,199","8,187","1,429",845
NetApp,NetApp FlexClone,2873,3469,IT Development/Infrastructure,IT Infrastructure & Ops Management,"11,199","8,187","1,429",845
Goverlan,Goverlan,4058,7221,IT Development/Infrastructure,IT Infrastructure & Ops Management,"11,037","8,670","1,881",986
Goverlan,Goverlan,4058,7221,IT Development/Infrastructure,IT Infrastructure & Ops Management,"11,037","8,670","1,881",986
IBM,IBM Tivoli Netcool/Impact,5100,6119,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,892","7,105","1,170",476
IBM,IBM Tivoli Netcool/Impact,5100,6119,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,892","7,105","1,170",476
CA Technologies,CA GigaStor,1005,4738,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,572","9,852","1,451","1,244"
CA Technologies,CA GigaStor,1005,4738,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,572","9,852","1,451","1,244"
IBM,IBM Tivoli Enterprise Console,2573,6052,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,488","8,259","1,592",895
IBM,IBM Tivoli Enterprise Console,2573,6052,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,488","8,259","1,592",895
Oracle,Oracle Grid Engine,3043,318,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,237","7,028","1,913","1,077"
Oracle,Oracle Grid Engine,3043,318,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,237","7,028","1,913","1,077"
BMC Software,BMC Apptune,590,3325,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,166","7,431","3,734","3,286"
BMC Software,BMC Apptune,590,3325,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,166","7,431","3,734","3,286"
VMware Inc.,VMware vCenter Server Heartbeat,1318,1406,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,071","3,861","1,094",541
VMware Inc.,VMware vCenter Server Heartbeat,1318,1406,IT Development/Infrastructure,IT Infrastructure & Ops Management,"10,071","3,861","1,094",541
Plutora,Plutora Release,13054,13033,IT Development/Infrastructure,IT Infrastructure & Ops Management,"9,968","7,564","1,174",661
Plutora,Plutora Release,13054,13033,IT Development/Infrastructure,IT Infrastructure & Ops Management,"9,968","7,564","1,174",661
Panasas,Panasas pNFS,5523,929,IT Development/Infrastructure,IT Infrastructure & Ops Management,"9,812","5,540","1,605",633
Panasas,Panasas pNFS,5523,929,IT Development/Infrastructure,IT Infrastructure & Ops Management,"9,812","5,540","1,605",633
Software AG,Software AG EntireX,2581,8132,IT Development/Infrastructure,IT Infrastructure & Ops Management,"9,656","8,172",705,372
Software AG,Software AG EntireX,2581,8132,IT Development/Infrastructure,IT Infrastructure & Ops Management,"9,656","8,172",705,372
HP Inc.,HP GlancePlus,3006,5058,IT Development/Infrastructure,IT Infrastructure & Ops Management,"9,631","9,084",503,395
HP Inc.,HP GlancePlus,3006,5058,IT Development/Infrastructure,IT Infrastructure & Ops Management,"9,631","9,084",503,395
IBM,IBM Telelogic,7585,6226,IT Development/Infrastructure,IT Infrastructure & Ops Management,"9,229","6,148","1,945",891
IBM,IBM Telelogic,7585,6226,IT Development/Infrastructure,IT Infrastructure & Ops Management,"9,229","6,148","1,945",891
CA Technologies,CA Jobtrac,1012,4745,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,839","5,751","1,771","1,094"
CA Technologies,CA Jobtrac,1012,4745,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,839","5,751","1,771","1,094"
Inedo,Inedo BuildMaster,12637,12616,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,377","1,700","3,018",346
Inedo,Inedo BuildMaster,12637,12616,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,377","1,700","3,018",346
IBM,IBM IEBCOPY,3433,6074,IT Development/Infrastructure,IT Infrastructure & Ops Management,"8,352","5,526","1,141",495
