project,critical,high,medium,low,components,vulnerabilities,product,vendor,repo_url,VendorName,Product,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US,gh_stars,gh_forks,gh_open_issues,gh_watchers,gh_language,gh_created_at,gh_updated_at,gh_pushed_at,gh_default_branch,gh_license,gh_archived,gh_size_kb,gh_size_gb
The_Apache_Software_Foundation-Apache_Phoenix.cdx,0,2,0,0,169,2,Apache Phoenix,The Apache Software Foundation,https://github.com/apache/phoenix,The Apache Software Foundation,Apache Phoenix,Big Data Processing,26017.0,17128.0,4834.0,2927.0,1053.0,1011.0,127.0,81.0,Java,2014-06-04T07:00:08Z,2026-03-27T04:40:59Z,2026-03-27T03:30:35Z,master,Apache-2.0,False,92968.0,0.0886611938476562
The_Apache_Software_Foundation-Apache_Pig.cdx,0,0,0,0,15,0,Apache Pig,The Apache Software Foundation,https://github.com/apache/pig,The Apache Software Foundation,Apache Pig,Big Data Processing,69762.0,58822.0,9695.0,6316.0,689.0,445.0,9.0,74.0,Java,2009-05-21T01:10:43Z,2026-02-23T12:51:39Z,2025-09-15T11:23:44Z,trunk,Apache-2.0,False,91442.0,0.0872058868408203
The_Apache_Software_Foundation-Apache_Spark.cdx,1,0,0,0,483,1,Apache Spark,The Apache Software Foundation,https://github.com/apache/spark,The Apache Software Foundation,Apache Spark,Big Data Processing,1023126.0,602591.0,228584.0,108034.0,43056.0,29141.0,307.0,2001.0,Scala,2014-02-25T08:00:08Z,2026-03-29T17:37:34Z,2026-03-29T12:11:02Z,master,Apache-2.0,False,545454.0,0.5201854705810547
The_Apache_Software_Foundation-Apache_Spark_Streaming.cdx,1,0,0,0,483,1,Apache Spark Streaming,The Apache Software Foundation,,,,,,,,,,,,,,,,,,,,,
The_Apache_Software_Foundation-Apache_Storm.cdx,0,0,1,0,263,1,Apache Storm,The Apache Software Foundation,https://github.com/apache/storm,The Apache Software Foundation,Apache Storm,Big Data Processing,120546.0,85265.0,19527.0,9755.0,6675.0,4049.0,44.0,562.0,Java,2013-11-05T08:00:14Z,2026-03-28T14:08:51Z,2026-03-28T14:06:26Z,master,Apache-2.0,False,157044.0,0.1497688293457031
The_Apache_Software_Foundation-Apache_Tez.cdx,20,57,33,0,879,110,Apache Tez,The Apache Software Foundation,https://github.com/apache/tez,The Apache Software Foundation,Apache Tez,Big Data Processing,41977.0,32548.0,6268.0,3062.0,514.0,440.0,68.0,32.0,Java,2013-04-08T07:20:23Z,2026-03-24T08:30:16Z,2026-03-24T08:30:11Z,master,Apache-2.0,False,32384.0,0.0308837890625
The_Apache_Software_Foundation-Apache_YARN.cdx,15,64,47,0,1666,126,Apache YARN,The Apache Software Foundation,,,,,,,,,,,,,,,,,,,,,
fluxbb_org-FluxBB.cdx,0,0,0,0,0,0,FluxBB,fluxbb org,,,,,,,,,,,,,,,,,,,,,
jPlayer-jPlayer.cdx,0,0,0,0,0,0,jPlayer,jPlayer,https://github.com/jplayer/jPlayer,jPlayer,jPlayer,Software as a Service,192987.0,77776.0,127039.0,38279.0,4607.0,1450.0,164.0,284.0,JavaScript,2010-02-17T04:44:34Z,2026-03-27T08:54:02Z,2021-11-02T18:28:47Z,master,NOASSERTION,False,3802.0,0.0036258697509765
mediaelementjs_com-MediaElement_js.cdx,0,0,0,0,7,0,MediaElement js,mediaelementjs com,,,,,,,,,,,,,,,,,,,,,
phpBB-phpBB.cdx,0,1,1,0,104,2,phpBB,phpBB,https://github.com/phpbb/phpbb,phpBB,phpBB,Software as a Service,122177.0,104798.0,22808.0,12238.0,2050.0,994.0,44.0,95.0,PHP,2010-03-01T22:33:17Z,2026-03-29T20:38:46Z,2026-03-29T08:07:58Z,master,GPL-2.0,False,95699.0,0.0912656784057617
swdb_oss,0,9,4,2,1668,15,swdb oss,swdb oss,,,,,,,,,,,,,,,,,,,,,
test,0,0,0,0,0,0,test,test,,,,,,,,,,,,,,,,,,,,,
