VendorName,Product,ProductCategory,IsOpenSource,GitHubLink
Tapfiliate,Tapfiliate,Affiliate Networks,No,
TradeTracker.com,TradeTrackercom,Affiliate Networks,No,
GrowSumo,GrowSumo,Affiliate Networks,No,
AWIN B.V,zanox,Affiliate Networks,No,
iDevDirect,iDevAffiliate,Affiliate Networks,No,
TravelPayouts,Travelpayouts,Affiliate Networks,No,
affilinet,affilinet,Affiliate Networks,No,
LeadDyno,LeadDyno,Affiliate Networks,No,
ShopStyle Inc.,ShopStyle Collective,Affiliate Networks,No,
Click2Sell,Click2Sell,Affiliate Networks,No,
Interspace Co Ltd,AccessTrade,Affiliate Networks,No,
AdCenter,Ad-Center,Affiliate Networks,No,
rewardStyle Inc,rewardStyle,Affiliate Networks,No,
Clickbooth,Clickbooth,Affiliate Networks,No,
LinkTrust,LinkTrust,Affiliate Networks,No,
adgoal.de,Adgoal,Affiliate Networks,No,
digidip,digidip,Affiliate Networks,No,
awempire.com,Adult Webmaster Empire,Affiliate Networks,No,
MaxBounty Inc.,MaxBounty,Affiliate Networks,No,
Daisycon Bv,DaisyCon,Affiliate Networks,No,
JVZoo,JVZoo,Affiliate Networks,No,
YieldKit GmbH,Yieldkit,Affiliate Networks,No,
Adobe Systems Inc.,Adobe Audience Manager,Data Management Platforms,No,
Navegg,Navegg,Data Management Platforms,No,
Liveramp,Liveramp,Data Management Platforms,No,
Oracle,BlueKai,Data Management Platforms,No,
Lotame,Lotame,Data Management Platforms,No,
Aggregate Knowledge,Aggregate Knowledge,Data Management Platforms,No,
eXelate A Nielsen Company,eXelate,Data Management Platforms,No,
Amobee,Turn,Data Management Platforms,No,
Liveramp,Arbor,Data Management Platforms,No,
Sizmek,Rocket Fuel,Data Management Platforms,No,
Salesforce.com,Salesforce DMP,Data Management Platforms,No,
Retargetly,Retargetly,Data Management Platforms,No,
Sojern,Sojern,Data Management Platforms,No,
Weborama,Weborama,Data Management Platforms,No,
Platform161,Platform161,Data Management Platforms,No,
KBM Group,I-Behavior,Data Management Platforms,No,
ADEX,The ADEX,Data Management Platforms,No,
AudienceScience,AudienceScience,Data Management Platforms,No,
AudienceRate Ltd,AudienceRate,Data Management Platforms,No,
intimatemerger.com,Intimate Merger,Data Management Platforms,No,
Umbel Corp,Umbel,Data Management Platforms,No,
Adbrain,Adbrain,Data Management Platforms,No,
Cxense ASA,Cxense,Data Management Platforms,No,
Digilant,Digilant,Data Management Platforms,No,
nugg.ad,nuggad,Data Management Platforms,No,
Datatrics,Datatrics,Data Management Platforms,No,
ChoiceStream Inc.,ChoiceStream,Data Management Platforms,No,
Tail Target,TailTarget,Data Management Platforms,No,
