repo_url,VendorName,Product,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US,gh_stars,gh_forks,gh_open_issues,gh_watchers,gh_language,gh_created_at,gh_updated_at,gh_pushed_at,gh_default_branch,gh_license,gh_archived,gh_size_kb,sbom_file,vuln_file,total_libraries,unique_libraries,syft_languages,syft_pkg_types,unique_lib_versions,vuln_lib_count,pct_libs_vulnerable,total_vulns,unique_cves,critical,high,medium,low,fixable,not_fixed,avg_cvss,max_cvss,avg_risk,max_risk,avg_epss,max_epss,grype_languages,grype_pkg_types,cwes,pct_fixable,pct_enterprises,active
https://github.com/OrchardCMS/OrchardCore,NET FOUNDATION,Orchard CMS,Web Content Management Systems,33680,23421,6324.0,2487,8056.0,2555.0,926.0,331.0,C#,2014-11-19T22:29:26Z,2026-03-30T12:46:27Z,2026-03-30 16:59:25+00:00,main,BSD-3-Clause,False,290759.0,,,390.0,360.0,javascript,github-action; github-action-workflow; npm,364.0,7.0,1.94,9.0,9.0,0.0,6.0,2.0,1.0,9.0,0.0,7.07,8.7,0.2,1.31,0.0,0.02,javascript,npm,CWE-1333; CWE-1333; CWE-400; CWE-20; CWE-754; CWE-352; CWE-400; CWE-754; CWE-918; CWE-94,100.0,0.02,True
https://github.com/Orckestra/C1-CMS-Foundation,Orckestra Inc,C1 CMS,Web Content Management Systems,2311,1292,1077.0,459,260.0,109.0,256.0,54.0,C#,2015-09-25T12:47:08Z,2026-02-26T19:46:34Z,2025-12-19 11:46:47+00:00,dev,NOASSERTION,False,70232.0,,,18.0,18.0,dotnet; java,dotnet; github-action; java-archive,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,False
https://github.com/PHPFusion/PHPFusion,php-fusion.co.uk,PHP-Fusion,Web Content Management Systems,5,3,4.0,2,119.0,115.0,33.0,43.0,PHP,2014-09-12T16:09:39Z,2026-03-30T15:43:22Z,2026-03-30 15:43:18+00:00,10.00.00-dev,AGPL-3.0,False,133636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,True
https://github.com/Perl/perl5,Perl,Perl,Programming Languages,842162,515497,247929.0,107372,2251.0,616.0,2374.0,23.0,Perl,2013-02-13T17:10:40Z,2026-03-30T02:12:11Z,2026-03-29 21:57:39+00:00,blead,NOASSERTION,False,368735.0,,,8.0,8.0,,github-action,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.6,True
https://github.com/PowerDNS/pdns,PowerDNS,DNS Server,Infrastructure as a Service,1761,1573,248.0,190,4330.0,994.0,934.0,127.0,C++,2013-04-26T11:16:49Z,2026-03-30T14:59:45Z,2026-03-30 15:04:28+00:00,master,GPL-2.0,False,107155.0,,,654.0,347.0,python; rust,github-action; github-action-workflow; python; rust-crate,393.0,4.0,1.15,26.0,5.0,0.0,3.0,11.0,12.0,18.0,8.0,4.03,8.2,0.0,0.01,0.0,0.0,python,python,CWE-1333; CWE-400; CWE-345; CWE-345; CWE-863; CWE-377,69.23,0.0,True
https://github.com/PrestaShop/PrestaShop,PrestaShop,Commerce Software,E-Commerce Platform/Software,60547,9288,35570.0,2480,9028.0,5035.0,2440.0,443.0,PHP,2012-11-19T16:41:31Z,2026-03-30T15:23:25Z,2026-03-30 16:09:45+00:00,develop,NOASSERTION,False,788242.0,,,1375.0,903.0,javascript; php,github-action; github-action-workflow; npm; php-composer,1120.0,57.0,6.31,166.0,128.0,5.0,67.0,68.0,26.0,160.0,6.0,6.41,10.0,1.6,62.48,0.02,0.72,javascript; php,github-action; npm; php-composer,CWE-120; CWE-1236; CWE-1284; CWE-1286; CWE-1286; CWE-601; CWE-1321; CWE-1321; CWE-1333; CWE-1333; CWE-1333; CWE-400; CWE-172; CWE-792; CWE-176; CWE-352; CWE-367; CWE-185; CWE-20; CWE-200; CWE-200; CWE-212; CWE-200; CWE-565; CWE-20; CWE-248; CWE-20; CWE-754; CWE-22; CWE-22; CWE-36; CWE-918; CWE-22; CWE-59; CWE-241; CWE-284; CWE-285; CWE-295; CWE-330; CWE-347; CWE-352; CWE-36; CWE-918; CWE-384; CWE-613; CWE-400; CWE-400; CWE-770; CWE-405; CWE-407; CWE-436; CWE-476; CWE-502; CWE-552; CWE-59; CWE-611; CWE-639; CWE-647; CWE-668; CWE-693; NVD-CWE-Other; CWE-703; CWE-705; CWE-74; CWE-754; CWE-77; CWE-776; CWE-78; CWE-79; CWE-80; CWE-835; CWE-843; CWE-88; CWE-89; CWE-918; CWE-94,96.39,0.09,True
https://github.com/Redocly/redoc,GitHub,ReDoc,Application Development Tools,2393,1612,562.0,304,25587.0,2388.0,435.0,296.0,TypeScript,2015-10-30T12:53:02Z,2026-03-30T16:53:40Z,2026-02-07 06:18:05+00:00,main,MIT,False,62450.0,,,120.0,116.0,javascript,github-action; npm,117.0,7.0,6.03,15.0,13.0,1.0,6.0,7.0,1.0,15.0,0.0,6.61,9.3,0.01,0.04,0.0,0.0,javascript,github-action; npm,CWE-120; CWE-1284; CWE-1321; CWE-1333; CWE-185; CWE-400; CWE-407; CWE-674; CWE-776; CWE-79,100.0,0.0,False
https://github.com/SeleniumHQ/selenium,Selenium,Selenium,Application Development Tools,836590,495828,202659.0,87615,34167.0,8668.0,198.0,1259.0,Java,2013-01-14T21:40:56Z,2026-03-30T17:05:00Z,2026-03-30 16:13:13+00:00,trunk,Apache-2.0,False,2332383.0,,,1693.0,1414.0,java; javascript; python; ruby; rust,binary; gem; github-action; github-action-workflow; java-archive; npm; python; rust-crate,1573.0,25.0,1.77,60.0,38.0,1.0,31.0,21.0,7.0,58.0,2.0,6.52,9.8,0.02,0.23,0.0,0.0,java; javascript; python; ruby; rust,gem; github-action; java-archive; npm; python; rust-crate,CWE-116; CWE-79; CWE-94; CWE-121; CWE-1321; CWE-1321; CWE-79; CWE-1333; CWE-1333; CWE-400; CWE-134; CWE-248; CWE-295; CWE-377; CWE-400; CWE-400; CWE-770; CWE-407; CWE-459; CWE-601; CWE-61; CWE-674; CWE-680; CWE-705; CWE-754; CWE-772; CWE-79; CWE-843; CWE-843; CWE-94,96.67,0.49,True
https://github.com/SeleniumHQ/selenium-ide,Selenium HQ,Selenium IDE,Application Development Tools,836590,495828,202659.0,87615,3093.0,839.0,452.0,160.0,TypeScript,2017-08-08T11:37:00Z,2026-03-30T10:20:03Z,2026-02-06 07:28:57+00:00,trunk,Apache-2.0,False,34069.0,,,673.0,579.0,javascript,github-action; npm,669.0,25.0,4.32,47.0,36.0,0.0,24.0,15.0,8.0,47.0,0.0,6.5,8.8,0.09,1.2,0.0,0.02,javascript,npm,CWE-1050; CWE-400; CWE-1321; CWE-1333; CWE-1333; CWE-400; CWE-154; CWE-295; CWE-176; CWE-352; CWE-367; CWE-20; CWE-22; CWE-22; CWE-59; CWE-400; CWE-405; CWE-407; CWE-476; CWE-59; CWE-674; CWE-74; CWE-78; CWE-79,100.0,0.49,False
https://github.com/Semantic-Org/Semantic-UI,Semantic UI,Semantic-ui,Frameworks & Libraries,63105,35065,18634.0,5856,51120.0,4891.0,1074.0,1274.0,JavaScript,2013-04-08T23:32:04Z,2026-03-30T09:36:16Z,2024-11-27 21:01:48+00:00,master,MIT,False,113201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,False
https://github.com/SimpleMachines/SMF,Simple Machines,Simple Machines Forum,Software as a Service,1941,937,978.0,390,714.0,270.0,139.0,64.0,PHP,2012-01-24T16:36:19Z,2026-03-28T13:15:07Z,2026-03-21 16:56:04+00:00,release-3.0,NOASSERTION,False,73586.0,,,26.0,21.0,php,github-action; php-composer,21.0,1.0,4.76,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,7.95,8.6,42.51,84.52,0.46,0.92,,github-action,CWE-506; NVD-CWE-Other; CWE-74; CWE-77,100.0,0.0,True
https://github.com/SonarSource/sonarqube,SonarSource SA,SonarQube,Application Development Tools,409836,258354,87080.0,41951,10382.0,2173.0,0.0,337.0,Java,2011-01-05T11:05:17Z,2026-03-30T16:14:52Z,2026-03-27 20:13:31+00:00,master,LGPL-3.0,False,962084.0,,,110.0,86.0,dotnet; java,dotnet; github-action; java-archive,88.0,4.0,4.65,12.0,10.0,2.0,3.0,5.0,2.0,11.0,1.0,6.27,9.8,1.84,9.54,0.02,0.1,java,java-archive,CWE-20; CWE-20; CWE-22; CWE-400; CWE-502; CWE-674; CWE-917; CWE-918,91.67,0.21,True
https://github.com/Sylius/Sylius,Sylius,Sylius,E-Commerce Platform/Software,1215,93,864.0,80,8436.0,2164.0,258.0,257.0,PHP,2011-11-05T22:05:52Z,2026-03-30T13:19:49Z,2026-03-30 13:19:14+00:00,2.3,MIT,False,360802.0,,,108.0,51.0,,github-action; github-action-workflow,51.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,True
https://github.com/TYPO3/typo3,TYPO3,TYPO3,Web Content Management Systems,157418,25579,80378.0,6517,1178.0,698.0,5.0,108.0,PHP,2011-03-02T10:02:23Z,2026-03-30T17:12:10Z,2026-03-30 17:12:05+00:00,main,GPL-2.0,False,641222.0,,,210.0,206.0,javascript; php,binary; npm; php-composer,210.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.19,True
