repo_url,VendorName,Product,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US,gh_stars,gh_forks,gh_open_issues,gh_watchers,gh_language,gh_created_at,gh_updated_at,gh_pushed_at,gh_default_branch,gh_license,gh_archived,gh_size_kb
https://github.com/apple/swift,Apple,Swift,Programming Languages,55702,40264,9862,4830,69867,10692,8773,2400,Swift,2015-10-23T21:15:07Z,2026-03-30T17:18:48Z,2026-03-30T17:42:34Z,main,Apache-2.0,False,1324975
https://github.com/aurelia/framework,Blue Spire Consulting Inc.,Aurelia,Frameworks & Libraries,32247,26240,9217,6001,11688,612,60,383,TypeScript,2014-12-10T19:22:29Z,2026-03-29T08:14:22Z,2023-01-27T11:32:58Z,master,MIT,False,3253
https://github.com/backdrop/backdrop,backdropcms,Backdrop,Web Content Management Systems,369,97,230,70,1034,399,734,64,PHP,2013-08-22T01:50:58Z,2026-03-30T01:07:04Z,2026-03-30T01:07:20Z,1.x,GPL-2.0,False,83966
https://github.com/basho/riak,Basho,Basho Riak,Database Management,37086,27585,10710,4950,4018,529,154,250,Shell,2010-04-16T14:51:16Z,2026-03-19T01:34:11Z,2024-05-01T19:27:08Z,develop,Apache-2.0,False,46600
https://github.com/berkeleydb/libdb,Oracle,Oracle Berkeley DB,Database Management,10602,8383,1210,649,385,85,2,13,C,2011-09-13T18:37:21Z,2026-03-11T23:01:39Z,2023-10-21T14:20:18Z,master,,False,84412
https://github.com/bitcoin/bitcoin,Bitcoin,Bitcoin,Blockchain,121625,60733,21283,10104,88627,38868,698,4049,C++,2010-12-19T15:16:43Z,2026-03-30T16:32:32Z,2026-03-30T12:11:12Z,master,MIT,False,310659
https://github.com/bloomreach/brXM,BloomReach,Hippo,Web Content Management Systems,54328,44584,8584,4674,27,14,0,16,,2020-07-08T15:57:44Z,2026-02-20T21:38:24Z,2026-02-02T10:18:08Z,main,Apache-2.0,False,244568
https://github.com/bolt/core,Bolt,Bolt,Web Content Management Systems,1950,1317,839,376,584,179,47,17,PHP,2018-05-28T15:18:59Z,2026-03-30T17:28:16Z,2026-03-30T11:42:43Z,6.0,MIT,False,62612
https://github.com/buddypress/buddypress,BuddyPress,BuddyPress,Software as a Service,32934,23231,12415,5405,245,172,19,28,PHP,2013-04-13T11:56:03Z,2026-03-28T02:40:33Z,2026-01-26T19:28:07Z,master,,False,77112
https://github.com/bugzilla/bugzilla,Mozilla Foundation,Bugzilla,Testing & QA,162801,91741,41811,16326,810,313,33,49,Perl,2014-03-12T14:49:38Z,2026-03-30T15:58:19Z,2026-02-19T03:07:34Z,5.2,MPL-2.0,False,75100
https://github.com/cakephp/cakephp,Cake Software Foundation Inc.,CakePHP,Frameworks & Libraries,27597,7994,15692,3054,8795,3378,24,516,PHP,2010-05-08T14:38:22Z,2026-03-27T19:46:32Z,2026-03-30T17:32:09Z,5.x,MIT,False,117606
https://github.com/capistrano/capistrano,capistranorb,Capistrano,Application Development Tools,10719,4825,3189,771,12925,1756,62,310,Ruby,2009-02-26T16:14:04Z,2026-03-29T11:12:28Z,2026-01-03T00:26:07Z,master,MIT,False,4640
https://github.com/cdapio/cdap,Cask Data,Cask Data Application Platform,Big Data Processing,4641,3741,497,257,788,350,121,93,Java,2014-08-02T09:00:10Z,2026-03-27T13:44:16Z,2026-03-30T13:30:24Z,develop,NOASSERTION,False,642930
https://github.com/cesanta/mongoose,CESANTA,Mongoose,Server,6701,1514,493,266,12628,2892,13,467,C,2012-08-14T15:09:51Z,2026-03-30T09:32:34Z,2026-03-28T22:23:16Z,master,NOASSERTION,False,38922
https://github.com/cfengine/core,CFEngine,CFEngine,Software Configuration Management,29767,23190,7229,5178,521,197,5,51,C,2012-02-25T09:19:05Z,2026-03-20T12:50:22Z,2026-03-20T14:34:06Z,master,NOASSERTION,False,70891
https://github.com/chef/chef,Opscode,Opscode Chef,IT Infrastructure & Ops Management,271739,184669,58088,28050,8339,2526,370,352,Ruby,2009-01-15T20:40:48Z,2026-03-30T13:15:41Z,2026-03-30T17:20:25Z,main,Apache-2.0,False,392634
https://github.com/cherokee/webserver,CHEROKEE,Cherokee,Server,33332,28534,13436,9926,574,108,435,52,C,2011-10-11T12:19:24Z,2026-03-10T22:05:04Z,2023-01-11T20:34:30Z,master,GPL-2.0,False,39690
https://github.com/ckeditor/ckeditor5,CKSource sp. z.o.o. sp.k.,CKEditor,Application Development Tools,530243,237880,203690,77074,10391,3739,876,146,Rich Text Format,2015-01-08T12:13:59Z,2026-03-30T16:14:42Z,2026-03-30T14:27:12Z,master,NOASSERTION,False,652295
https://github.com/clojure/clojure,Clojure,Clojure,Programming Languages,59239,37881,15108,9262,10833,1456,0,681,Java,2010-06-29T20:03:33Z,2026-03-30T12:39:56Z,2026-01-16T14:55:13Z,master,,False,19313
https://github.com/cmsmadesimple/cmsmadesimple2,CMS Made Simple,CMS Made Simple,Web Content Management Systems,16837,5657,11671,2420,,,,,,,,,,,,
https://github.com/codeigniter4/CodeIgniter4,CodeIgniter,CodeIgniter,Frameworks & Libraries,193554,70191,76167,18825,5871,1972,34,276,PHP,2015-08-27T03:32:45Z,2026-03-30T14:48:15Z,2026-03-29T19:16:50Z,develop,MIT,False,363089
https://github.com/codemirror/dev,Codemirror,CodeMirror,Application Development Tools,85472,40370,43507,14601,7773,472,17,70,JavaScript,2018-08-28T12:10:35Z,2026-03-30T13:39:52Z,2026-01-22T08:42:13Z,main,NOASSERTION,False,3746
https://github.com/concretecms/concretecms,Concrete5,Concrete5,Web Content Management Systems,80882,59179,28024,13456,827,470,530,72,PHP,2014-04-22T18:12:28Z,2026-03-20T17:06:53Z,2026-03-29T01:24:26Z,9.5.x,MIT,False,307300
