Library Name,Versions Found,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
lodash-es,"3.10.1, 4.17.11, 4.17.21, 4.17.23, 4.17.4",27,"Angular Material, AngularJS, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache NiFi, Apache YARN, CKEditor, CloudStack, Commerce Software, Druid, Ghost, Grafana, HHVM, JetPack, Liferay, Liveblog, Meteor, Presto, Quill, Shopware, TYPO3, Thelia, WooCommerce, XWiki, django CMS, dotCMS",1829612,6,Critical,3,6,15,0,Yes
eventsource,"0.1.6, 1.1.0, 2.0.2, 3.0.6, 3.0.7, 4.0.0",11,"ASP NET, Angular Material, AngularJS, Apollo Client, Bolt, Grafana, Liferay, Piwik, React, Umbraco, dotCMS",1745588,1,Critical,3,0,0,0,Yes
fast-xml-parser,"3.19.0, 4.2.5, 4.3.0, 4.4.1, 4.5.0, 4.5.3, 4.5.4, 5.0.9, 5.2.5, 5.3.0, 5.3.6, 5.5.7, 5.5.8",13,"CloudStack, Commerce Software, Countly, Druid, Emberjs, Ghost, Liferay, Piwik, Ravenjs, ReDoc, React, React Native, WooCommerce",1709385,7,Critical,9,24,13,10,Yes
sha.js,"2.2.6, 2.4.11, 2.4.12, 2.4.8, 2.4.9",14,"Bolt, CloudStack, Ghost, Grafana, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, OrientDB, Ravenjs, React, Shopware, WooCommerce",1656710,1,Critical,9,0,0,0,Yes
socket.io-parser,"2.2.2, 2.2.4, 2.3.1, 4.2.4, 4.2.5, 4.2.6",20,"Angular Material, AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, CKEditor, Commerce Software, Discourse, Emberjs, Ghost, GoCD, Grafana, Liferay, Orchard CMS, Ravenjs, Ruby on Rails, ZURB Foundation",1633617,4,Critical,6,20,6,0,Yes
set-value,"0.4.3, 2.0.0, 2.0.1, 3.0.2, 3.0.3, 4.1.0",19,"Bolt, CloudStack, Discourse, Druid, Ghost, Jahia, Liferay, LocomotiveCMS, MovableType, Neos, Orchard CMS, OrientDB, Plotly, Ravenjs, React, Thelia, WooCommerce, ZURB Foundation, Zabbix",1595745,2,Critical,6,6,0,0,Yes
mixin-deep,"1.3.1, 1.3.2, 2.0.1",17,"Bolt, CloudStack, Discourse, Druid, Ghost, Jahia, Liferay, LocomotiveCMS, MovableType, Neos, OrientDB, Ravenjs, React, Thelia, WooCommerce, ZURB Foundation, Zabbix",1583942,1,Critical,2,0,0,0,Yes
dompurify,"2.4.0, 2.4.3, 2.4.7, 2.5.8, 3.0.6, 3.2.4, 3.2.5, 3.2.6, 3.2.7, 3.3.0, 3.3.1, 3.3.2, 3.3.3",21,"AngularJS, Apache NiFi, CKEditor, CloudStack, Commerce Software, Druid, Ghost, Grafana, HHVM, JetPack, Liferay, Neos, ReDoc, Rundeck, Shopware, TYPO3, Umbraco, WooCommerce, XWiki, ZK, dotCMS",1533571,6,Critical,1,8,44,0,Partial
growl,"1.10.5, 1.8.1, 1.9.2",12,"Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Ghost, Less, Liferay, LocomotiveCMS, Piwik, React",1514276,1,Critical,5,0,0,0,Yes
pbkdf2,"0.11.0, 0.12.2, 3.0.13, 3.0.14, 3.0.17, 3.1.1, 3.1.2, 3.1.3, 3.1.5, 7e9bd5fcd3cc3062159e4c9214bb628aa6feb5ca",15,"Apache Mahout, Basho Riak, Bolt, CloudStack, DNS Server, Ghost, Liferay, Live Helper Chat, LocomotiveCMS, Meteor, Neos, OrientDB, React, Shopware, WooCommerce",1473371,2,Critical,20,0,0,0,Yes
