Library Name,Version,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
logback-classic,1.0.13,1,SonarQube,87080,2,Critical,1,1,0,0,Yes
logback-core,1.0.13,1,SonarQube,87080,7,Critical,1,1,3,2,Yes
loader-utils,2.0.2,2,"CloudStack, Ionic Framework",72389,3,Critical,2,4,0,0,Yes
fast-xml-parser,4.2.5,1,Piwik,67376,5,Critical,1,2,1,1,Yes
fast-xml-parser,4.5.0,1,Piwik,67376,5,Critical,1,2,1,1,Yes
koa,2.7.0,1,Piwik,67376,4,Critical,1,1,1,1,Yes
webpack,5.51.1,1,Piwik,67376,4,Critical,1,0,1,2,Yes
jackson-databind,@jackson.version@,1,Jetty,65973,18,Critical,9,9,0,0,Yes
@angular/ssr,17.0.0,1,Ionic Framework,65706,2,Critical,1,1,0,0,Yes
@angular/ssr,18.0.2,1,Ionic Framework,65706,2,Critical,1,1,0,0,Yes
@angular/ssr,19.0.2,1,Ionic Framework,65706,4,Critical,1,2,1,0,Yes
@angular/ssr,20.0.3,1,Ionic Framework,65706,5,Critical,1,2,2,0,Yes
@babel/traverse,7.18.2,1,Ionic Framework,65706,1,Critical,1,0,0,0,Yes
@nguniversal/common,16.0.0,1,Ionic Framework,65706,2,Critical,1,1,0,0,No
@nguniversal/express-engine,16.0.0,1,Ionic Framework,65706,1,Critical,1,0,0,0,No
webpack,5.73.0,1,Ionic Framework,65706,4,Critical,1,0,1,2,Yes
hadoop-common,2.8.5,2,"Apache Oozie, GridGain",61320,5,Critical,6,2,0,2,Yes
hsqldb,1.8.0.10,2,"Apache Oozie, GridGain",61320,1,Critical,1,0,0,0,Yes
activemq-client,5.15.9,1,Apache Oozie,59842,2,Critical,1,0,1,0,Yes
avro,1.8.2,1,Apache Oozie,59842,2,Critical,1,1,0,0,Yes
hive-jdbc,1.2.2,1,Apache Oozie,59842,2,Critical,1,0,1,0,Yes
jackson-databind,2.6.7.5,1,Apache Oozie,59842,21,Critical,7,14,0,0,Yes
spark-core_2.10,1.6.1,1,Apache Oozie,59842,8,Critical,1,3,4,0,Partial
set-value,0.4.3,3,"Liferay, Neos, OrientDB",58905,2,Critical,3,3,0,0,Yes
set-value,2.0.0,3,"Liferay, Neos, OrientDB",58905,2,Critical,3,3,0,0,Yes
@babel/traverse,7.4.0,2,"Liferay, Neos",54664,1,Critical,2,0,0,0,Yes
minimist,1.1.3,2,"Liferay, Neos",54664,2,Critical,2,0,2,0,Yes
mixin-deep,1.3.1,2,"Liferay, Neos",54664,1,Critical,2,0,0,0,Yes
@babel/traverse,7.22.10,2,"Liferay, Thelia",52714,1,Critical,2,0,0,0,Yes
@babel/traverse,7.12.1,1,Liferay,52575,1,Critical,1,0,0,0,Yes
@babel/traverse,7.21.5,1,Liferay,52575,1,Critical,1,0,0,0,Yes
@babel/traverse,7.22.20,1,Liferay,52575,1,Critical,1,0,0,0,Yes
@babel/traverse,7.4.5,1,Liferay,52575,1,Critical,1,0,0,0,Yes
billboard.js,1.12.12,1,Liferay,52575,2,Critical,1,1,0,0,Yes
billboard.js,1.8.1,1,Liferay,52575,2,Critical,1,1,0,0,Yes
fast-xml-parser,4.4.1,1,Liferay,52575,5,Critical,1,2,1,1,Yes
fsevents,1.2.9,1,Liferay,52575,2,Critical,2,0,0,0,Yes
jetty-server,8.1.8.v20121106,1,Liferay,52575,11,Critical,2,4,3,2,Yes
jspdf,3.0.4,1,Liferay,52575,10,Critical,2,6,2,0,Yes
lodash-es,4.17.11,1,Liferay,52575,5,Critical,1,2,2,0,Yes
lodash-es,4.17.4,1,Liferay,52575,6,Critical,1,2,3,0,Yes
log4j,1.2.14,1,Liferay,52575,6,Critical,3,3,0,0,Partial
set-getter,0.1.0,1,Liferay,52575,1,Critical,1,0,0,0,Yes
shiro-core,1.1.0,1,Liferay,52575,10,Critical,6,2,1,1,Yes
spring-beans,4.1.2.RELEASE,1,Liferay,52575,2,Critical,1,1,0,0,Yes
spring-beans,4.1.9.RELEASE,1,Liferay,52575,2,Critical,1,1,0,0,Yes
spring-security-core,5.5.1,1,Liferay,52575,4,Critical,1,1,2,0,Yes
spring-security-web,5.5.1,1,Liferay,52575,3,Critical,3,0,0,0,Partial
spring-web,4.1.2.RELEASE,1,Liferay,52575,7,Critical,1,3,3,0,Partial
spring-web,4.1.9.RELEASE,1,Liferay,52575,6,Critical,1,3,2,0,Partial
spring-webmvc,4.1.2.RELEASE,1,Liferay,52575,2,Critical,1,1,0,0,Partial
